id,company_rank,employee_count,company,url,state,state_code,city,metro,growth_percent,revenue_usd,industry,years_on_inc5000
23243,638,130,MobileOne,mobileone,California,CA,"San Diego","San Diego",729.823,59079647,Retail,2
25194,639,58,7Summits,7summits,Wisconsin,WI,Milwaukee,"Milwaukee-Waukesha-West Allis WI",727.6076,10248000,"Business Products & Services",1
23245,640,65,"Signature Consulting Group",signature-consulting-group,Maryland,MD,"Windsor Mill",Baltimore,727.3235,15381665,"IT Services",2
25985,641,35,OrangePeople,orangepeople,California,CA,Irvine,"Los Angeles",726.5997,4573171,"IT Services",1
26578,642,6,"McGregor Homes",mcgregor-homes,Oklahoma,OK,Edmond,"Oklahoma City OK",726.2162,6114000,"Real Estate",1
23055,643,41,"Camp Gladiator",camp-gladiator,Texas,TX,Austin,Austin,724.6445,6786000,"Consumer Products & Services",2
25506,644,20,"Kings Capital Construction",kings-capital-construction,"New York",NY,"White Plains","New York City",713.939,6472728,Construction,1
23433,645,85,"iUnlimited Investigative Services",iunlimited-investigative-services,California,CA,Sacramento,"Sacramento--Arden-Arcade--Roseville CA",712.5619,5173330,Security,2
26411,646,14,"Boost Software",boost-software,Massachusetts,MA,Boston,Boston,711.0722,11566441,Software,1
25411,647,148,"Cardinal Group Management",cardinal-group-management,Colorado,CO,Denver,Denver,710.4798,46638997,"Real Estate",1
24954,648,13,"Defense Engineering",defense-engineering,Ohio,OH,Beavercreek,"Dayton OH",708.9784,3746646,"Government Services",1
25332,649,18,"W&R Studios",wr-studios,California,CA,"Huntington Beach","Los Angeles",708.1784,2344170,Software,1
20975,650,434,Acquia,acquia,Massachusetts,MA,Burlington,Boston,707.5023,71007265,Software,3
23229,651,54,"Vivo Clothing",vivo-clothing,Idaho,ID,"Coeur d'Alene","Coeur d'Alene ID",707.1836,3601968,Retail,2
21126,652,434,"Saratoga Roofing & Construction",saratoga-roofing-construction,Oklahoma,OK,"Oklahoma City","Oklahoma City OK",706.0034,54125468,Construction,3
23447,653,500,"George Street Photo & Video",george-street-photo-video,Illinois,IL,Chicago,Chicago,703.5961,18447103,"Consumer Products & Services",2
25789,654,25,"AllPure Technologies",allpure-technologies,Pennsylvania,PA,"New Oxford",Philadelphia,703.4112,2944992,Manufacturing,1
25955,655,16,"Neya Systems",neya-systems,Pennsylvania,PA,Wexford,"Pittsburgh PA",702.9335,3063400,Engineering,1
26153,656,45,"Nicholas Pension Consultants",nicholas-pension-consultants,California,CA,"Rancho Cordova","Sacramento--Arden-Arcade--Roseville CA",702.715,4196530,"Financial Services",1
25250,657,109,"Oslo Solutions",oslo-solutions,Washington,WA,Issaquah,Seattle,702.3287,8279318,"IT Services",1
21028,658,27,"Modern Everyday",modern-everyday,California,CA,Alhambra,"Los Angeles",700.4152,9300320,Retail,3
26188,659,60,"Fora Financial",fora-financial,"New York",NY,"New York","New York City",698.1928,18418300,"Financial Services",1
25495,660,28,JumpForward,jumpforward,Illinois,IL,Chicago,Chicago,696.8407,2779500,Software,1
21709,661,13,"The Dagit Group",the-dagit-group,Pennsylvania,PA,"King of Prussia",Philadelphia,695.6444,14202252,Construction,3
2288,662,772,Nexius,nexius,Texas,TX,Allen,Dallas,694.2351,183195157,Telecommunications,6
24936,663,26,"Custom Cable",custom-cable,Florida,FL,Tampa,Tampa,690.6167,22901344,Manufacturing,2
23219,664,61,"Tower Cloud",tower-cloud,Florida,FL,"St. Petersburg",Tampa,689.2431,27239756,Telecommunications,2
23254,665,12,"Express Chem",express-chem,Missouri,MO,"St. Louis","St. Louis MO-IL",688.5959,2999945,"Environmental Services",2
23119,666,30,inviCRO,invicro,Massachusetts,MA,Boston,Boston,686.8939,8207901,Health,2
26131,667,94,eXelate,exelate,"New York",NY,"New York","New York City",686.5864,28089000,"Advertising & Marketing",1
23096,668,174,InfoFree,infofree,California,CA,"San Mateo","San Francisco",685.4603,7509000,"Business Products & Services",2
21197,669,40,RealSelf,realself,Washington,WA,Seattle,Seattle,682.2904,7436640,Health,3
23069,670,45,Benzara,benzara,Illinois,IL,Naperville,Chicago,681.9754,5779236,"Consumer Products & Services",2
23468,671,43,"Clear Title Agency of Arizona",clear-title-agency-of-arizona,Arizona,AZ,Phoenix,Phoenix,680.2286,6827000,"Real Estate",2
25918,672,34,"Dice Communications",dice-communications,Nebraska,NE,Omaha,"Omaha-Council Bluffs NE-IA",676.9298,7671350,Telecommunications,1
23019,673,78,WordStream,wordstream,Massachusetts,MA,Boston,Boston,676.7654,6580182,"Advertising & Marketing",2
19360,674,92,DiscoverOrg,discoverorg,Washington,WA,Vancouver,"Portland OR",675.1355,21590221,"Business Products & Services",4
21491,675,120,"Credence Management Solutions",credence-management-solutions,"District of Columbia",DC,Washington,"Washington DC",674.2122,21929794,"Government Services",3
25431,676,4,KitOrder,kitorder,California,CA,Sausalito,"San Francisco",674.1156,4185860,Software,1
24606,677,85,"3Q Digital",3q-digital,California,CA,"San Mateo","San Francisco",670.6046,9642752,"Advertising & Marketing",1
25730,678,29,SeniorHomes.com,seniorhomescom,Washington,WA,Seattle,Seattle,670.2773,2408295,Health,1
23933,679,38,AirSage,airsage,Georgia,GA,Atlanta,Atlanta,669.3265,9812221,Software,2
25177,680,80,ProvidaStaff,providastaff,"North Carolina",NC,Huntersville,Charlotte,667.2473,3175491,Health,1
23169,681,195,"ERP International",erp-international,Maryland,MD,Laurel,"Washington DC",666.3545,32731000,"Government Services",2
24958,682,13,"Category Five Technologies",category-five-technologies,Michigan,MI,Livonia,Detroit,665.5847,8038992,Retail,1
25980,683,17,"Regatta Solutions",regatta-solutions,California,CA,"San Juan Capistrano","Los Angeles",661.4981,11027178,Energy,1
24917,684,18,"Barney Butter",barney-butter,California,CA,Fresno,"Fresno CA",661.0333,8691000,"Food & Beverage",1
26369,685,23,"JJ Virgin & Associates",jj-virgin-associates,California,CA,"Rancho Mirage","Riverside-San Bernardino-Ontario CA",660.0068,6074970,Health,1
23046,686,90,"Dane Street",dane-street,Massachusetts,MA,Boston,Boston,659.6826,13468337,Health,2
21176,687,16,TigerFitness.com,tigerfitnesscom,Ohio,OH,Mason,Cincinnati,659.0239,5646371,Retail,3
26364,688,32,Nextility,nextility,"District of Columbia",DC,Washington,"Washington DC",658.3785,2966898,Energy,1
22938,689,25,ReTargeter,retargeter,California,CA,"San Francisco","San Francisco",657.753,8161000,"Advertising & Marketing",2
25151,690,30,Mediafly,mediafly,Illinois,IL,Chicago,Chicago,657.1875,2423000,Software,1
25867,691,60,VizExplorer,vizexplorer,California,CA,"San Diego","San Diego",656.2322,5424000,Software,1
26403,692,40,"Keylingo Translations",keylingo-translations,Georgia,GA,Atlanta,Atlanta,655.9779,3451984,"Business Products & Services",1
7473,693,138,"Vantage Media Marketplaces",vantage-media-marketplaces,California,CA,"El Segundo","Los Angeles",655.7295,118778000,"Advertising & Marketing",2
25378,694,6,"Southern Point",southern-point,Alabama,AL,Enterprise,"Enterprise-Ozark AL",654.4817,2199050,"Consumer Products & Services",1
25383,695,56,"Orange Leaf Frozen Yogurt",orange-leaf-frozen-yogurt,Oklahoma,OK,"Oklahoma City","Oklahoma City OK",652.9412,26880000,"Food & Beverage",1
24835,696,11,"All American Lending",all-american-lending,California,CA,"Newport Beach","Los Angeles",652.7505,2819668,"Financial Services",1
26541,697,24,Transformyx,transformyx,Louisiana,LA,"Baton Rouge","Baton Rouge LA",651.6402,8157333,"IT Services",1
23183,698,54,"Five Stones Research",five-stones-research,Alabama,AL,Brownsboro,"Huntsville AL",649.5907,7961703,"Government Services",2
23018,699,1,"First Flight Solutions",first-flight-solutions,"North Carolina",NC,"Emerald Isle","Morehead City NC",649.0447,4269742,"Logistics & Transportation",2
22900,700,180,SPARC,sparc,"South Carolina",SC,Charleston,"Charleston-North Charleston SC",645.7488,20363237,Software,2
23173,701,22,"Caneel Group",caneel-group,"New Jersey",NJ,Gibbsboro,Philadelphia,645.4948,6225075,"Financial Services",2
21342,702,70,"Wellness Corporate Solutions",wellness-corporate-solutions,Maryland,MD,Bethesda,Unknown,643.7388,12645835,Health,3
26365,703,26,"Ready Set Rocket",ready-set-rocket,"New York",NY,"New York","New York City",643.7046,3071500,"Advertising & Marketing",1
24856,704,15,"Orchestra Software",orchestra-software,Oregon,OR,Beaverton,"Portland OR",642.7348,2389712,Software,1
23761,705,44,"Soft-Con Enterprises",soft-con-enterprises,Maryland,MD,Hyattsville,"Washington DC",642.4791,5331000,"IT Services",2
25714,706,12,NovelASPect.com,novelaspectcom,California,CA,"San Mateo","San Francisco",641.7848,2439374,"IT Services",1
25663,707,10,"Mesh Systems",mesh-systems,Indiana,IN,Carmel,"Indianapolis IN",639.6098,3339708,Software,1
21112,708,40,"Analytic Strategies",analytic-strategies,Virginia,VA,Vienna,"Washington DC",639.2661,6254797,"Government Services",3
25169,709,33,Envy,envy,Florida,FL,Orlando,"Orlando FL",639.255,3538836,Software,1
21181,710,35,"Citadel Insurance Services",citadel-insurance-services,Utah,UT,"American Fork","Provo-Orem UT",636.8058,5935015,Insurance,3
